run_id,case_id,rank,chunk_id,relevance,reviewer_a,reviewer_b,reviewer_a_label,reviewer_b_label,rationale,suggested_relevance,document_name,page_number,section_title,score,text
small-local-384,idf_en_global_prevalence,1,IDF_Diabetes_Atlas_11th_Edition_2025_WEB_p46_c118,unjudged,,,unjudged,unjudged,,relevant,IDF_Diabetes_Atlas_11th_Edition_2025_WEB.pdf,46,Key messages:,0.8629,"Key messages:

An estimated 589 million adults aged 20–79 years
are living with diabetes. This represents 11.1% of
the world’s population in this age group.

The total number of adults living with diabetes is
predicted to rise to 853 million (13%) by 2050.

An estimated 252 million adults living with diabetes
are unaware they have the condition.

One in four adults (158 million) living with diabetes
are aged over 65.

An estimated 635 million adults aged 20–79 years
are living with impaired glucose tolerance (12%).

Over USD 1 trillion was spent on diabetes in 2024.
This represents 12% of global health expenditure.

Over 3.4 million people died as a result of diabetes
in 2024. This corresponds to 9.3% of global deaths
from all causes.

An estimated 9.1 million people are living with type
1 diabetes. The majority (69%) are aged 20-59.

An estimated 1 in 5 live births (23 million) are
affected by some form of hyperglycaemia
in pregnancy.

IDF Diabetes Atlas 11th Edition - 2025 | diabetesatlas.org | 41
IDF Diabetes Atlas 11th Edition - 2025 | diabetesatlas.org | 41"
small-local-384,idf_en_global_prevalence,2,IDF_Diabetes_Atlas_11th_Edition_2025_WEB_p53_c136,unjudged,,,unjudged,unjudged,,not_relevant,IDF_Diabetes_Atlas_11th_Edition_2025_WEB.pdf,53,"Figure 3.2 Prevalence of diabetes among men and women (20–79 years), 2024.",0.8336,"|  | 2024 | 2050 |
| --- | --- | --- |
| Adult population (65-99 years) | 667.8 million | 1.1 billion |
| Prevalence (65-99 years) | 23.7% | 24.3% |
| Number of people over 65 with diabetes (65–99 years) | 158.3 million | 278 million |"
small-local-384,idf_en_global_prevalence,3,IDF_Diabetes_Atlas_11th_Edition_2025_WEB_p92_c229,unjudged,,,unjudged,unjudged,,not_relevant,IDF_Diabetes_Atlas_11th_Edition_2025_WEB.pdf,92,"Figure 4.5 Estimated prevalence (%) of diabetes by age and sex, IDF South and Central America
Region 2024.",0.832,"| At a glance |  |  |
| --- | --- | --- |
|  | 2024 | 2050 |
| Adult population (20-79 years) | 1.74b | 1.72b |
| Diabetes (20-79 years) |  |  |
| Regional prevalence | 12.4% | 14.7% |
| Age-standardised prevalence | 11.1% | 12.8% |
| Number of people with diabetes (20-79 years) | 215m | 254m |
| Number of deaths due to diabetes (20-79 years) | 1.2m |  |
| Healthcare expenditure due to diabetes (20-79 years) |  |  |
| Total healthcare expenditure, USD | 246.3b | 237.7b |
| Impaired glucose tolerance (20-79 years) |  |  |
| Regional prevalence | 14.4% | 15.5% |
| Age-standardised prevalence | 13.5% | 14.3% |
| Number of people with impaired glucose tolerance | 251m | 268m |
| Impaired fasting glucose (20-79 years) |  |  |
| Regional prevalence | 9.1% | 9.9% |
| Age-standardised prevalence | 8.6% | 9.2% |
| Number of people with impaired glucose tolerance | 160m | 171m |
| Undiagnosed diabetes (20-79 years) |  |  |
| Regional proportion | 50.0% |  |
| Number of people with undiagnosed diabetes | 108m |  |
| Type 1 diabetes (all age groups) |  |  |
| Number of people with type 1 diabetes | 991,000 |  |"
small-local-384,idf_en_global_prevalence,4,IDF_Diabetes_Atlas_11th_Edition_2025_WEB_p53_c133,unjudged,,,unjudged,unjudged,,not_relevant,IDF_Diabetes_Atlas_11th_Edition_2025_WEB.pdf,53,"Figure 3.2 Prevalence of diabetes among men and women (20–79 years), 2024.",0.8293,"Table 3.5 Top 10 countries or territories with age-standardised diabetes prevalence in adults
(20–79 years) in 2024 and 2050. i. Countries without in-country data sources. Estimates are extrapolated. Table 3.6 Global diabetes estimates in people (65-99 years) in 2024 and 2050. 3.2 Diabetes prevalence in older adults in 2024 and projection to 2050 Regional distribution Diabetes prevalence increases with age. Therefore,
the highest estimated prevalence is in people over
65 (Figure 3.1). In 2024, the estimated number of
people with diabetes aged 65–99 years was 158.3
million (23.7%). If the current trend continues, the
number of people aged 65-99 years with diabetes will
be 278 million in 2050 (Table 3.6). These data point
to a significant increase in the diabetes population of
ageing societies in the next 25 years and the inevitable
public health and economic challenges this will bring.
It will require all countries to commit to sufficient
resources to tackle diabetes."
small-local-384,idf_en_global_prevalence,5,IDF_Diabetes_Atlas_11th_Edition_2025_WEB_p49_c124,unjudged,,,unjudged,unjudged,,not_relevant,IDF_Diabetes_Atlas_11th_Edition_2025_WEB.pdf,49,3.1 Diabetes prevalence in 2024 and projection to 2050 (20–79 years),0.8291,"Variation in diabetes prevalence across age, sex and setting

The estimated diabetes prevalence is similar in women
and men aged 20–79 (10.9% vs 11.3%). In 2024, the
IDF estimates that 9.8 million more men than women
were living with diabetes (Figure 3.2).

Age is an important risk factor for diabetes. Ageing of
the world’s population contributes to higher diabetes
prevalence that results in an increasing proportion of
people with diabetes over the age of 60.

Prevalence was lowest among adults aged 20–24
(1.9% in 2024 and 2.2% in 2050). Conversely, it was
highest among adults aged 75–79, with an estimated
prevalence of 24.8% in 2024, which is expected to rise
to 25.4% by 2050.

Map 3.2 Estimated age-standardised country prevalence of diabetes in adults (20–79 years), 2024.

<4%

4-<5%

5-<7%

7-<9%

9-<12%

≥ 12%

No estimates

44 | IDF Diabetes Atlas 11th Edition - 2025 | diabetesatlas.org"
small-local-384,idf_ar_projection_2050,1,IDF_Diabetes_Atlas_11th_Edition_2025_WEB_p47_c120,unjudged,,,unjudged,unjudged,,not_relevant,IDF_Diabetes_Atlas_11th_Edition_2025_WEB.pdf,47,3.1 Diabetes prevalence in 2024 and projection to 2050 (20–79 years),0.8583,"Our projection for 2050 predicts a growth of 17% in
the prevalence of diabetes due to the ageing of the
population and increased urbanisation across the
globe. It is estimated that 95% of the increase in the
number of people with diabetes by 2050 will occur in
low- and middle-income countries, where population
growth is expected to be greater than in high-income
countries (Table 3.2). The estimates in the 11th edition of the IDF Diabetes
Atlas are provided for 215 countries and territories,
grouped into the seven IDF Regions: Africa (AFR),
Europe (EUR), Middle East and North Africa (MENA),
North America and Caribbean (NAC), South and
Central America (SACA), South-East Asia (SEA) and
Western Pacific (WP). In total, 246 data sources from
153 countries and territories were included in the
analyses (See Resources www.diabetesatlas.org). 1
Data are presented considering each country´s current
age structure and, after adjustment to reflect the
prevalence, the age structure of the world population. 42 | IDF Diabetes Atlas 11th Edition - 2025 | diabetesatlas.org"
small-local-384,idf_ar_projection_2050,2,IDF_Diabetes_Atlas_11th_Edition_2025_WEB_p47_c119,unjudged,,,unjudged,unjudged,,not_relevant,IDF_Diabetes_Atlas_11th_Edition_2025_WEB.pdf,47,3.1 Diabetes prevalence in 2024 and projection to 2050 (20–79 years),0.837,"While the world’s population is estimated to grow
25% over the next 25 years, the number of people
with diabetes is estimated to increase by 45%
(Map 3.1, Table 3.1, Map 3.2). This 11th edition of the IDF Diabetes Atlas provides
estimates for diabetes in 2024 and projected
estimates for 2050. The estimates include diagnosed
and undiagnosed diabetes for adults aged 20–79. Worldwide, a total of 589 million adults aged 20–79
are estimated to have diabetes (11.1% of all adults in
this age group). By 2050, the number of adults living
with diabetes will rise to a projected 852.5 million. Map 3.1 Estimated number of adults (20–79 years) with diabetes by country, 2024. < 100 thousand 100-<500 thousand 500 thousand-<1 million 1 - <10 million
10-<20 million
≥ 20 million
No estimates 3.1 Diabetes prevalence in 2024 and projection to 2050 (20–79 years)"
small-local-384,idf_ar_projection_2050,3,IDF_Diabetes_Atlas_11th_Edition_2025_WEB_p12_c26,unjudged,,,unjudged,unjudged,,not_relevant,IDF_Diabetes_Atlas_11th_Edition_2025_WEB.pdf,12,Summary,0.8324,"There is a large and growing population at high risk
of developing diabetes. In 2024, 635 million people
were estimated to have impaired glucose tolerance
and 488 million were estimated to have impaired
fasting glucose. It was also estimated that over 3.4
million people aged 20–79 died from diabetes-related
causes in 2024. Direct health expenditures due to
diabetes surpassed one trillion USD for the first time
and will continue to rise over the coming years."
small-local-384,idf_ar_projection_2050,4,IDF_Diabetes_Atlas_11th_Edition_2025_WEB_p46_c118,unjudged,,,unjudged,unjudged,,relevant,IDF_Diabetes_Atlas_11th_Edition_2025_WEB.pdf,46,Key messages:,0.8195,"Key messages:

An estimated 589 million adults aged 20–79 years
are living with diabetes. This represents 11.1% of
the world’s population in this age group.

The total number of adults living with diabetes is
predicted to rise to 853 million (13%) by 2050.

An estimated 252 million adults living with diabetes
are unaware they have the condition.

One in four adults (158 million) living with diabetes
are aged over 65.

An estimated 635 million adults aged 20–79 years
are living with impaired glucose tolerance (12%).

Over USD 1 trillion was spent on diabetes in 2024.
This represents 12% of global health expenditure.

Over 3.4 million people died as a result of diabetes
in 2024. This corresponds to 9.3% of global deaths
from all causes.

An estimated 9.1 million people are living with type
1 diabetes. The majority (69%) are aged 20-59.

An estimated 1 in 5 live births (23 million) are
affected by some form of hyperglycaemia
in pregnancy.

IDF Diabetes Atlas 11th Edition - 2025 | diabetesatlas.org | 41
IDF Diabetes Atlas 11th Edition - 2025 | diabetesatlas.org | 41"
small-local-384,idf_ar_projection_2050,5,IDF_Diabetes_Atlas_11th_Edition_2025_WEB_p88_c221,unjudged,,,unjudged,unjudged,,not_relevant,IDF_Diabetes_Atlas_11th_Edition_2025_WEB.pdf,88,"Figure 4.5 Estimated prevalence (%) of diabetes by age and sex, IDF South and Central America
Region 2024.",0.8133,"m = million | b = billion

Highlights

●
1 in 10 adults have diabetes – 35 million.

●
The number of adults with diabetes
is expected to increase by 46% to 52
million by 2050.

●
1 in 3 adults living with diabetes
(30.4%) are undiagnosed.

●
Diabetes is responsible for 224,000
deaths in 2024.

●
797,000 people live with type 1 diabetes.

●
Diabetes-related expenditure totals
USD 81 billion in 2024.

●
1 in 6 live births are affected by
hyperglycaemia in pregnancy.

IDF Diabetes Atlas 11th Edition - 2025 | diabetesatlas.org | 83"
small-local-384,idf_en_undiagnosed,1,IDF_Diabetes_Atlas_11th_Edition_2025_WEB_p56_c146,unjudged,,,unjudged,unjudged,,not_relevant,IDF_Diabetes_Atlas_11th_Edition_2025_WEB.pdf,56,3.3 Undiagnosed diabetes,0.8397,"Globally, more than four in ten adults with diabetes
in 2024 were unaware that they have the condition.
This translates to 252 million people living with
undiagnosed – and therefore untreated – diabetes,
placing them at increased risk of complications and
premature death. Thus, there is a clear need to scale
up screening programmes and high-quality, person-
centred health services, especially in low- and middle-
income countries, where over 85% of people with
undiagnosed diabetes live. Table 3.10 Adults (20–79 years) with undiagnosed diabetes in IDF Regions in 2024, sorted by
proportion undiagnosed from highest to lowest. IDF: International Diabetes Federation; AFR: Africa; EUR: Europe; MENA: Middle East and North Africa; NAC: North America and Caribbean; SACA:
South and Central America; SEA: South-East Asia; WP: Western Pacific IDF Diabetes Atlas 11th Edition - 2025 | diabetesatlas.org | 51"
small-local-384,idf_en_undiagnosed,2,IDF_Diabetes_Atlas_11th_Edition_2025_WEB_p55_c141,unjudged,,,unjudged,unjudged,,not_relevant,IDF_Diabetes_Atlas_11th_Edition_2025_WEB.pdf,55,3.2 Diabetes prevalence in older adults in 2024 and projection to 2050,0.7849,"Across low-income, middle-income, and high-income
countries, 58.7%, 45.5%, and 28.9% of adults living
with diabetes are undiagnosed (Table 3.9). Globally,
86.9% of all people with undiagnosed diabetes live in
low- and middle-income countries, home to four-fifths
of the world’s population. 5 Early diagnosis and the timely initiation of treatment
are crucial for individuals with diabetes to prevent
or delay complications, avoid premature death, 50 | IDF Diabetes Atlas 11th Edition - 2025 | diabetesatlas.org"
small-local-384,idf_en_undiagnosed,3,IDF_Diabetes_Atlas_11th_Edition_2025_WEB_p73_c183,unjudged,,,unjudged,unjudged,,not_relevant,IDF_Diabetes_Atlas_11th_Edition_2025_WEB.pdf,73,3.8 Type 1 diabetes estimates in children and adults,0.7661,"3.8 Type 1 diabetes estimates in children and adults Findings Previous editions of the IDF Diabetes Atlas were
restricted to children and adolescents living with
type 1 diabetes (T1D) and did not consider potential
changes in incidence and mortality in the interval
between the study dates of the respective individual
country data and publication dates of the Atlas. In 2024, there were an estimated 9.15 million
individuals worldwide living with diagnosed clinical
T1D, 17 with 22.3% (2.04 million) of these living in
low-income and lower-middle-income countries. Of this total population of 9.15 million, 1.81 million
(19.8%), were younger than 20 years, 6.28 million
(68.6%) were between 20 and 59 and 1.06 million
(11.8%) were 60 or older."
small-local-384,idf_en_undiagnosed,4,IDF_Diabetes_Atlas_11th_Edition_2025_WEB_p57_c148,unjudged,,,unjudged,unjudged,,not_relevant,IDF_Diabetes_Atlas_11th_Edition_2025_WEB.pdf,57,3.3 Undiagnosed diabetes,0.7586,"Map 3.4 Proportion of adults (20–79 years) with undiagnosed diabetes by country in 2024.

<24%

35-<45%

45-<55%

55-<64%
≥ 65%
No estimates

Table 3.11 Top 10 countries with the largest number of adults (20–79 years) with undiagnosed
diabetes in 2024.

52 | IDF Diabetes Atlas 11th Edition - 2025 | diabetesatlas.org"
small-local-384,idf_en_undiagnosed,5,IDF_Diabetes_Atlas_11th_Edition_2025_WEB_p46_c118,unjudged,,,unjudged,unjudged,,relevant,IDF_Diabetes_Atlas_11th_Edition_2025_WEB.pdf,46,Key messages:,0.7569,"Key messages:

An estimated 589 million adults aged 20–79 years
are living with diabetes. This represents 11.1% of
the world’s population in this age group.

The total number of adults living with diabetes is
predicted to rise to 853 million (13%) by 2050.

An estimated 252 million adults living with diabetes
are unaware they have the condition.

One in four adults (158 million) living with diabetes
are aged over 65.

An estimated 635 million adults aged 20–79 years
are living with impaired glucose tolerance (12%).

Over USD 1 trillion was spent on diabetes in 2024.
This represents 12% of global health expenditure.

Over 3.4 million people died as a result of diabetes
in 2024. This corresponds to 9.3% of global deaths
from all causes.

An estimated 9.1 million people are living with type
1 diabetes. The majority (69%) are aged 20-59.

An estimated 1 in 5 live births (23 million) are
affected by some form of hyperglycaemia
in pregnancy.

IDF Diabetes Atlas 11th Edition - 2025 | diabetesatlas.org | 41
IDF Diabetes Atlas 11th Edition - 2025 | diabetesatlas.org | 41"
small-local-384,idf_ar_expenditure,1,IDF_Diabetes_Atlas_11th_Edition_2025_WEB_p66_c169,unjudged,,,unjudged,unjudged,,not_relevant,IDF_Diabetes_Atlas_11th_Edition_2025_WEB.pdf,66,"In 2024, the total global
diabetes-related health
expenditure exceeded
one trillion USD for the
first time.",0.8372,"Figure 3.7 Total diabetes-related health expenditure for adults (20–79 years) with diabetes from
2006 to 2050. 1200 1000 800 USD billion 600 400 200 0 2006
2009
2011
2013
2015
2017
2019
2021
2024
2050 Year Regional distribution Expenditure due to diabetes has a substantial
impact on total health expenditure worldwide,
representing 11.9% of total global health spending.
In the SACA Region, an average of 22.4% of the
total health expenditure was due to diabetes, the
highest percentage of the IDF Regions, followed by
17.0% in the MENA Region. The lowest percentage
of health expenditure due to diabetes was
observed in the EUR Region (8.8%) (Figure 3.10)."
small-local-384,idf_ar_expenditure,2,IDF_Diabetes_Atlas_11th_Edition_2025_WEB_p65_c168,unjudged,,,unjudged,unjudged,,not_relevant,IDF_Diabetes_Atlas_11th_Edition_2025_WEB.pdf,65,3.7 The economic impact of diabetes,0.8236,"This represents a 338% increase over 17 years. Part
of this increase can be attributed to improved data
quality. The direct costs of diabetes are expected to
continue to grow. IDF estimates that total diabetes-
related health expenditure will reach USD 1.043
trillion by 2050. This projection is conservative as
it considers only population size, ageing, changes
in sex distribution and urbanisation and assumes
that age and sex-specific diabetes prevalence and
diabetes-related expenditure remain constant. 60 | IDF Diabetes Atlas 11th Edition - 2025 | diabetesatlas.org"
small-local-384,idf_ar_expenditure,3,IDF_Diabetes_Atlas_11th_Edition_2025_WEB_p71_c180,unjudged,,,unjudged,unjudged,,not_relevant,IDF_Diabetes_Atlas_11th_Edition_2025_WEB.pdf,71,"Map 3.8 Total diabetes-related health expenditure (USD) by country for adults (20–79 years) with
diabetes in 2024.",0.8201,"Map 3.8 Total diabetes-related health expenditure (USD) by country for adults (20–79 years) with
diabetes in 2024.

<50 million

10-<50 million

50-<200 million

200 million-<1 billion
≥ 1 billion

No estimates

Map 3.9 Diabetes-related health expenditure (USD) by country per adult (20–79 years) with
diabetes in 2024.

<250

250-<500

500-<1,000

1,000-<2,000

2,000-<5,000
≥ 5,000
No estimates

66 | IDF Diabetes Atlas 11th Edition - 2025 | diabetesatlas.org"
small-local-384,idf_ar_expenditure,4,IDF_Diabetes_Atlas_11th_Edition_2025_WEB_p48_c122,unjudged,,,unjudged,unjudged,,not_relevant,IDF_Diabetes_Atlas_11th_Edition_2025_WEB.pdf,48,3.1 Diabetes prevalence in 2024 and projection to 2050 (20–79 years),0.7958,"| At a glance |  | 2024 | 2050 |
| --- | --- | --- | --- |
| World Population Total Adults (20-79 years) |  | 8.1 billion 5.3 billion | 9.7 billion 6.6 billion |
| All diabetes (20–79 years) Number of people with diabetes Prevalencei Number of deaths attributed to diabetes Total health expenditure due to diabetesii (2024 USD) |  | 588.7 million 11.1% 3.4 million 1.015 trillion | 852.5 million 13.0% - 1.043 trillion |
| Type 1 diabetes Number of people with type 1 diabetes (all age groups) Number of people with type 1 diabetes (>20 years) |  | 9.2 million 1.8 million |  |
| Intermediate Hyperglycaemia Impaired glucose tolerance (20–79 years) Number of people Prevalencei Impaired fasting glucose (20–79 years) Number of people with impaired fasting glucose Prevalencei |  | 634.8 million 12.0% 487.7 million 9.2% | 846.5 million 12.9% 647.5 million 9.8% |
| Hyperglycaemia in pregnancy (20–49 years) Number of live births affected Proportion of live births affected |  | 23 million 19.7% |  |"
small-local-384,idf_ar_expenditure,5,IDF_Diabetes_Atlas_11th_Edition_2025_WEB_p1_c0,unjudged,,,unjudged,unjudged,,not_relevant,IDF_Diabetes_Atlas_11th_Edition_2025_WEB.pdf,1,"11th Edition | 2025
Diabetes Atlas",0.7903,"11th Edition | 2025
Diabetes Atlas

589

million

people worldwide

have diabetes"
small-local-384,idf_en_regions,1,IDF_Diabetes_Atlas_11th_Edition_2025_WEB_p117_c290,unjudged,,,unjudged,unjudged,,not_relevant,IDF_Diabetes_Atlas_11th_Edition_2025_WEB.pdf,117,"Country summary in IDF South and Central America Region
2024",0.8364,"Country summary in IDF South and Central America Region
2024

South and Central America

112 | IDF Diabetes Atlas 11th Edition - 2025 | diabetesatlas.org"
small-local-384,idf_en_regions,2,IDF_Diabetes_Atlas_11th_Edition_2025_WEB_p119_c294,unjudged,,,unjudged,unjudged,,not_relevant,IDF_Diabetes_Atlas_11th_Edition_2025_WEB.pdf,119,"Country summary in IDF South-East Asia Region
2024",0.8329,"Country summary in IDF South-East Asia Region
2024

South-East Asia

114 | IDF Diabetes Atlas 11th Edition - 2025 | diabetesatlas.org"
small-local-384,idf_en_regions,3,IDF_Diabetes_Atlas_11th_Edition_2025_WEB_p109_c274,unjudged,,,unjudged,unjudged,,not_relevant,IDF_Diabetes_Atlas_11th_Edition_2025_WEB.pdf,109,"Country summary in IDF Europe Region
2024",0.8248,"Country summary in IDF Europe Region
2024

Europe

104 | IDF Diabetes Atlas 11th Edition - 2025 | diabetesatlas.org"
small-local-384,idf_en_regions,4,IDF_Diabetes_Atlas_11th_Edition_2025_WEB_p32_c84,unjudged,,,unjudged,unjudged,,not_relevant,IDF_Diabetes_Atlas_11th_Edition_2025_WEB.pdf,32,Key messages:,0.8211,"Key messages:

246 data sources from 153 countries were selected
to estimate diabetes prevalence for the current IDF
Diabetes Atlas.

Data sources come from countries which comprise
over 93% of the global population.

Other sources, such as registries, have also been
included, but only after rigorous scrutiny of their
quality, just as for the peer-reviewed publications.

Future projections have been calculated using the
United Nations population predictions and degree
of urbanisation. These predictions only take into
account changes in the distribution of age, sex
and urban/rural residence ratio.

IDF Diabetes Atlas 11th Edition - 2025 | diabetesatlas.org | 27"
